HP:0004328	Abnormal anterior segment morphology	C4025355,
HP:0011976	Elevated urinary catecholamines	C0241577,
HP:0011977	Elevated urinary homovanillic acid	C4020736,
HP:0010972	Anemia of inadequate production	C0392708,C0678199,
HP:0031862	Increased heart rate variability	
HP:0011978	Elevated urinary vanillylmandelic acid	C4020735,
HP:0011979	Elevated urinary dopamine	C4023099,
HP:0004325	Decreased body weight	C0041667,C1262477,C1844806,
HP:0003110	Abnormality of urine homeostasis	C4025655,
HP:0004972	Elevated mean arterial pressure	C1840376,
HP:0009713	Spinal hemangioblastoma	C4024223,
HP:0009711	Retinal capillary hemangioma	C0730303,C1514915,
HP:0009717	Cortical tubers	C1968959,
HP:0031610	Recurrent shoulder dislocation	
HP:0001336	Myoclonus	C0027066,C1704276,C1854302,
HP:0100735	Hypertensive crisis	C0020546,
HP:0011675	Arrhythmia	C0003811,C0522055,C0855329,C1744601,C1832603,C1842820,
HP:0031816	Abnormal oral morphology	
HP:0000902	Rib fusion	C1844749,
HP:0009121	Abnormal axial skeleton morphology	C4020785,C4024586,
HP:0025033	Abnormality of digestive system morphology	C4293691,
HP:0002888	Ependymoma	C0014474,
HP:0031861	Decreased heart rate variability	
HP:0002886	Vagal paraganglioma	C0474819,
HP:0002885	Medulloblastoma	C0025149,
HP:0004817	Drug-sensitive hemolytic anemia	C4025289,
HP:0004814	Fava bean-induced hemolytic anemia	C4021648,
HP:0004810	Congenital hypoplastic anemia	C0002876,C1260899,
HP:0004326	Cachexia	C0006625,
HP:0030407	Pineocytoma	C0917890,
HP:0030405	Pancreatic endocrine tumor	C0242363,
HP:0030404	Glucagonoma	C0017689,
HP:0011792	Neoplasm by histology	C4023186,
HP:0011793	Neoplasm by anatomical site	C4023185,
HP:0011805	Abnormal muscle morphology	C4023181,
HP:0000553	Abnormal uvea morphology	C4025842,
HP:0006723	Intestinal carcinoid	C4024988,
HP:0006722	Small intestine carcinoid	C1868072,
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	C4023599,
HP:0002341	Cervical cord compression	C0852866,
HP:0001895	Normochromic anemia	C0235983,
HP:0001897	Normocytic anemia	C0085577,
HP:0001890	Autoimmune hemolytic anemia	C0002880,
HP:0001891	Iron deficiency anemia	C0162316,
HP:0009878	Cerebellar ataxia associated with quadrupedal gait	C4024175,
HP:0100312	Cerebral germinoma	C4022151,
HP:0100817	Renovascular hypertension	C0020545,
HP:0002249	Melena	C0025222,C0474585,
HP:0100818	Long thorax	C0575484,
HP:0002242	Abnormal intestine morphology	C4316788,
HP:0004863	Compensated hemolytic anemia	C4025283,
HP:0004860	Thiamine-responsive megaloblastic anemia	C0271972,
HP:0025103	Umbilicated nodule	C4476593,
HP:0006585	Congenital pseudoarthrosis of the clavicle	C0426806,C0426811,
HP:0004864	Refractory sideroblastic anemia	C0002896,
HP:0025170	Neuronal/glioneuronal neoplasm of the central nervous system	C0474844,C2363902,
HP:0005147	Bidirectional ventricular ectopy	C1969410,
HP:0002640	Hypertension associated with pheochromocytoma	C4025693,
HP:0011297	Abnormality of digit	C3550704,
HP:0011703	Sinus tachycardia	C0039239,
HP:0011702	Abnormal electrophysiology of sinoatrial node origin	C4023222,
HP:0011704	Sick sinus syndrome	C0037052,
HP:0030881	Shoulder impingement	C1655733,
HP:0000163	Abnormal oral cavity morphology	C4025887,
